,Date ,Time Start,Time End,Podcast,Titel,Teilnehmer
Samstag,27/12/14,2:00 p.m.,3:00 p.m.,Workshop ,"""Der Einstieg ins Podcasten""",Daniel Meßner
Samstag,27/12/14,4:00 p.m.,6:00 p.m.,Workshop,Ultraschall Basiswissen,Ralf Stockmann
Samstag,27/12/14,6:00 p.m.,7:00 p.m.,Troja Alert,Eris - Göttin der Zwietracht,Stefan Thesing
Samstag,27/12/14,8:00 p.m.,9:30 p.m.,Freak Show,FS147 That Escalatored Quickly,"Tim Pritlove, John-Paul Bader, Ruotger Deecke, Clemens Schrimpe, Denis Ahrens"
Samstag,27/12/14,10:00 p.m.,11:30 p.m.,Community-Event,Sendegate-Treffen,Das Sendegate
Sonntag,28/12/14,1:00 p.m.,2:30 p.m.,Workshop,Podcasten unter Linux? Podcasten unter Linux!,Johannes Mueller
Sonntag,28/12/14,3:00 p.m.,04:30 p.m.,Workshop,Podlove Publisher,Tim Pritlove
Sonntag,28/12/14,5:00 p.m.,6:00 p.m.,Staatsbürgerkunde,,"Martin Fischer, Martin Haase, Constanze Kurz"
Sonntag,28/12/14,7:00 p.m.,8:30 p.m.,Logbuch Netzpolitik,#31c3-Special ,"Linus Neumann, Tim Pritlove, Andre Meister, Thomas Lohninger"
Sonntag,28/12/14,8:30 p.m.,10:10 p.m.,Die Sondersendung ,Der Assembly-Marsch,"Claudia Krell, Ralf Stockmann"
Sonntag,28/12/14,10:15 p.m.,11:30 p.m.,Community-Event,Equipment für den Podcaster von heute,Das Sendegate
Montag,29/12/14,1:00 p.m.,3:00 p.m.,Workshop,Ultraschall: Die Zukunft,Ralf Stockmann
Montag,29/12/14,3:15 p.m.,4:00 p.m.,Workshop,Podlove Templates,Eric Teubert
Montag,29/12/14,5:00 p.m.,7:00 p.m.,Methodisch inkorrekt!,Die falsche 42,"Nicolas Wöhrl, Reinhard Remfort"
Montag,29/12/14,7:00 p.m.,8:00 p.m.,Cocktailpodcast feat. Bildungstrinken,How to hack a High-End Cocktail-Bar,"Robert Krüger, Mathias Bauer, Jörg Meyer "
Montag,29/12/14,8:00 p.m.,10:00 p.m.,WRINT,Realitätsabgleich,"Tobias Baier, Holger Klein"
Montag,29/12/14,10:00 p.m.,11:59 p.m.,Wir müssen Reden,Jahresrückblick,"Michael Seemann, Max von Webel, Michael Kreil"
Dienstag,30/12/14,0:00 a.m.,2:00 a.m.,NSFW,DIE Reunion,"Holger Klein, Tim Pritlove"
Dienstag,30/12/14,12:00 p.m.,2:00 p.m.,tbd ,tbd,tbd
Dienstag,30/12/14,2:00 p.m.,3:00 p.m.,N00bcore,tbd,Fiona Krakenbürger
Dienstag,30/12/14,3:00 p.m.,tbd,Die Sondersendung ,#31C3-Rückblick,"Claudia Krell, Tim Pritlove, Ralf Stockmann"